Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (G),Accelerometer Y (G),Accelerometer Z (G),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
381,0.24,-0.75,0.26,-0.13,0.04,1.02,,,
382,-0.34,-0.89,0.27,-0.13,0.04,1.02,,,
383,-0.03,-0.06,-0.05,-0.14,0.03,1.02,,,
384,-0.22,1.75,-0.28,-0.13,0.03,1.02,,,
385,-0.47,2.17,-0.13,-0.13,0.04,1.02,,,
386,-0.2,1.13,-0.06,-0.14,0.04,1.02,,,
387,-0.04,1.35,-0.02,-0.14,0.03,1.02,,,
388,-0.38,1.35,-0.12,-0.13,0.04,1.02,,,
389,-0.34,0.96,-0.16,-0.14,0.03,1.02,,,
390,0.21,0.84,0.17,-0.14,0.04,1.02,,,
391,0.17,0.67,0.13,-0.14,0.04,1.02,,,
392,0.04,0.5,0.13,-0.14,0.03,1.02,,,
393,-0.16,0.2,0.1,-0.13,0.03,1.02,,,
394,-0.16,0.63,-0.09,-0.14,0.04,1.02,,,
395,0.01,-0.33,-0.06,-0.14,0.03,1.03,,,
396,0.34,-0.28,-0.17,-0.14,0.03,1.02,,,
397,0.34,-0.06,-0.22,-0.13,0.03,1.03,,,
398,0.42,-1.44,-0.12,-0.14,0.04,1.02,,,
399,0.51,-2.35,0.04,-0.14,0.04,1.02,,,
400,0.23,-1.2,0.08,-0.13,0.03,1.02,,,
401,0,-0.04,0.12,-0.13,0.03,1.02,,,
402,-0.15,0.38,-0.08,-0.13,0.04,1.02,,,
403,-0.15,0.13,0.3,-0.14,0.04,1.02,,,
404,-0.25,0.77,-0.11,-0.14,0.03,1.02,,,
405,-0.02,1.67,0.22,-0.13,0.04,1.02,,,
406,-0.22,2.43,0.01,-0.14,0.03,1.02,,,
407,-0.19,1.45,0,-0.14,0.03,1.02,,,
408,0.06,0.51,-0.04,-0.14,0.04,1.02,,,
409,0.1,-0.14,-0.04,-0.14,0.03,1.02,,,
410,0.17,0.24,-0.06,-0.13,0.03,1.02,,,
411,0.04,0.13,-0.16,-0.14,0.04,1.03,,,
412,0.2,-0.12,-0.18,-0.14,0.03,1.02,,,
413,0.02,-0.77,0.15,-0.14,0.03,1.02,,,
414,0.24,-1.84,0.04,-0.14,0.03,1.03,,,
415,-0.06,-2.06,0.03,-0.13,0.03,1.02,,,
416,0.19,-0.56,-0.01,-0.13,0.03,1.02,,,
417,-0.02,-0.46,0.1,-0.14,0.04,1.02,,,
418,0.09,0.09,-0.25,-0.13,0.03,1.01,,,
419,-0.27,1.29,-0.18,-0.13,0.03,1.02,,,
420,-0.19,1.45,0.06,-0.14,0.04,1.02,,,
421,0.01,1.02,0.13,-0.14,0.04,1.02,,,
422,-0.04,0.92,0.13,-0.14,0.03,1.02,,,
423,-0.01,1.11,0.12,-0.14,0.03,1.02,,,
424,-0.54,0.67,0.07,-0.14,0.04,1.02,,,
425,-0.22,0.45,-0.05,-0.13,0.03,1.02,,,
426,-0.03,-0.49,0.07,-0.14,0.04,1.03,,,
427,0.31,-0.49,-0.09,-0.14,0.04,1.02,,,
428,0.24,-0.46,-0.09,-0.14,0.03,1.02,,,
